# packages in environment at /home/vrath/.Miniconda/envs/EM:
#
# Name                    Version                   Build  Channel
_libgcc_mutex             0.1                 conda_forge    conda-forge
_openmp_mutex             4.5                      1_llvm    conda-forge
_sysroot_linux-64_curr_repodata_hack 3                   ha9d2b57_10    conda-forge
absl-py                   0.11.0           py38h578d9bd_0    conda-forge
affine                    2.3.0                      py_0    conda-forge
alabaster                 0.7.12                     py_0    conda-forge
anyio                     2.0.2            py38h578d9bd_4    conda-forge
appdirs                   1.4.4              pyh9f0ad1d_0    conda-forge
argh                      0.26.2          pyh9f0ad1d_1002    conda-forge
argon2-cffi               20.1.0           py38h497a2fe_2    conda-forge
arviz                     0.11.0             pyhd8ed1ab_0    conda-forge
asteval                   0.9.16             pyh5ca1d4c_0    conda-forge
astroid                   2.4.2            py38h32f6830_1    conda-forge
async_generator           1.10                       py_0    conda-forge
atk-1.0                   2.36.0               h3371d22_4    conda-forge
atomicwrites              1.4.0              pyh9f0ad1d_0    conda-forge
attrs                     20.3.0             pyhd3deb0d_0    conda-forge
autopep8                  1.5.4              pyh9f0ad1d_0    conda-forge
babel                     2.9.0              pyhd3deb0d_0    conda-forge
backcall                  0.2.0              pyh9f0ad1d_0    conda-forge
backports                 1.0                        py_2    conda-forge
backports.functools_lru_cache 1.6.1                      py_0    conda-forge
binutils_impl_linux-64    2.35.1               h193b22a_1    conda-forge
binutils_linux-64         2.35                hc3fd857_29    conda-forge
black                     20.8b1                     py_1    conda-forge
blas                      1.1                    openblas    conda-forge
bleach                    3.2.3              pyh44b312d_0    conda-forge
blessings                 1.7             py38h578d9bd_1004    conda-forge
bokeh                     2.2.3            py38h578d9bd_0    conda-forge
boost-cpp                 1.74.0               hc6e9bd1_2    conda-forge
boule                     0.2.0                      py_0    conda-forge
brotlipy                  0.7.0           py38h497a2fe_1001    conda-forge
bzip2                     1.0.8                h7f98852_4    conda-forge
c-ares                    1.17.1               h36c2ea0_0    conda-forge
ca-certificates           2020.12.5            ha878542_0    conda-forge
cached-property           1.5.1                      py_0    conda-forge
cairo                     1.16.0            h7979940_1007    conda-forge
certifi                   2020.12.5        py38h578d9bd_1    conda-forge
cffi                      1.14.4           py38ha65f79e_1    conda-forge
cfitsio                   3.470                h2e3daa1_7    conda-forge
cftime                    1.3.1            py38h5c078b8_0    conda-forge
chaospy                   3.3.8                      py_0    conda-forge
chardet                   4.0.0            py38h578d9bd_1    conda-forge
chrpath                   0.16              h14c3975_1001    conda-forge
click                     7.1.2              pyh9f0ad1d_0    conda-forge
click-plugins             1.1.1                      py_0    conda-forge
cligj                     0.7.1              pyhd8ed1ab_0    conda-forge
cloudpickle               1.6.0                      py_0    conda-forge
cmake                     3.19.4               h4547794_0    conda-forge
cmocean                   2.0                        py_3    conda-forge
codecov                   2.0.15                   pypi_0    pypi
colorama                  0.4.4              pyh9f0ad1d_0    conda-forge
colorcet                  2.0.6              pyhd8ed1ab_0    conda-forge
colorspacious             1.1.2              pyh24bf2e0_0    conda-forge
colour-runner             0.0.5                    pypi_0    pypi
configparser              5.0.1                      py_0    conda-forge
coverage                  5.4              py38h497a2fe_0    conda-forge
cryptography              3.3.1            py38h2b97feb_1    conda-forge
curl                      7.71.1               he644dc0_8    conda-forge
cycler                    0.10.0                     py_2    conda-forge
cython                    0.29.21          py38h709712a_2    conda-forge
cytoolz                   0.11.0           py38h497a2fe_3    conda-forge
dask                      2021.1.1           pyhd8ed1ab_0    conda-forge
dask-core                 2021.1.1           pyhd8ed1ab_0    conda-forge
dataclasses               0.7                pyhb2cacf7_7    conda-forge
dbus                      1.13.6               hfdff14a_1    conda-forge
dcw-gmt                   1.1.4                      1001    conda-forge
decorator                 4.4.2                      py_0    conda-forge
defusedxml                0.6.0                      py_0    conda-forge
diff-match-patch          20200713           pyh9f0ad1d_0    conda-forge
dill                      0.3.3              pyhd8ed1ab_0    conda-forge
discretize                0.6.2            py38hc10631b_0    conda-forge
diskcache                 5.2.1              pyh44b312d_0    conda-forge
distributed               2021.1.1         py38h578d9bd_0    conda-forge
docopt                    0.6.2                      py_1    conda-forge
docutils                  0.16             py38h578d9bd_3    conda-forge
double-conversion         3.1.5                he1b5a44_2    conda-forge
eigen                     3.3.9                h4bd325d_1    conda-forge
elasticdeform             0.4.7                    pypi_0    pypi
embree                    2.17.7                        1    conda-forge
emg3d                     0.16.0             pyhd8ed1ab_0    conda-forge
empymod                   2.0.4              pyhd8ed1ab_0    conda-forge
entrypoints               0.3             pyhd8ed1ab_1003    conda-forge
espatools                 0.1.1                    pypi_0    pypi
expat                     2.2.10               h9c3ff4c_0    conda-forge
fastprogress              1.0.0                      py_0    conda-forge
fbpca                     1.0                        py_0    conda-forge
fenics                    2019.1.0        py38hce46ccb_13    conda-forge
fenics-dijitso            2019.1.0        py38h578d9bd_18    conda-forge
fenics-dolfin             2019.1.0        py38h4764ffe_13    conda-forge
fenics-ffc                2019.1.0        py38h578d9bd_18    conda-forge
fenics-fiat               2019.1.0        py38h578d9bd_18    conda-forge
fenics-libdolfin          2019.1.0            he9fa545_13    conda-forge
fenics-ufl                2019.1.0        py38h578d9bd_18    conda-forge
ffmpeg                    4.3.1                hca11adc_2    conda-forge
fftw                      3.3.8           nompi_hfc0cae8_1114    conda-forge
