MIMDAS IP Data Geosoft Format : Integration Time = 0.50 to 2.50 secs
LINE:Block1 ARRAY:PLDP DIPOLE:100 UNITS:M TXFREQ:25/256
        Tx1x        Tx2x        Rx1x        Rx2x        Tx1y        Tx2y        Rx1y        Rx2y       2DRho       ARerr               Vp           I          Sp          IP       IPerr          Real001          Imag001          Real002          Imag002          Real003          Imag003          Real004          Imag004          Real005          Imag005          Real006          Imag006          Real007          Imag007          Real008          Imag008          Real009          Imag009          Real010          Imag010          Real011          Imag011          Real012          Imag012          Real013          Imag013          Real014          Imag014          Real015          Imag015          Real016          Imag016          Real017          Imag017          Real018          Imag018          Real019          Imag019          Real020          Imag020          Real021          Imag021          Real022          Imag022          Real023          Imag023          Real024          Imag024          Real025          Imag025          Real026          Imag026          Real027          Imag027          Real028          Imag028          Real029          Imag029          Real030          Imag030          Real031          Imag031          Real032          Imag032          Real033          Imag033          Real034          Imag034          Real035          Imag035          Real036          Imag036          Real037          Imag037          Real038          Imag038          Real039          Imag039          Real040          Imag040          Real041          Imag041          Real042          Imag042          Real043          Imag043          Real044          Imag044          Real045          Imag045          Real046          Imag046          Real047          Imag047          Real048          Imag048          Real049          Imag049          Real050          Imag050          Real051          Imag051          Real052          Imag052
    659050.0           *    658800.0    658900.0   6217585.0           *   6217585.0   6217585.0     416.244       0.006     -176.5539554       1.000       0.000       7.462       0.011  -1.7729666E-001   1.8330137E-003  -1.7601463E-001   1.9444783E-003  -1.7540452E-001   2.0238443E-003  -1.7499187E-001   2.0832459E-003  -1.7466813E-001   2.1373917E-003  -1.7441724E-001   2.1886294E-003  -1.7418597E-001   2.2412097E-003  -1.7399516E-001   2.2828926E-003  -1.7382613E-001   2.3301915E-003  -1.7363414E-001   2.3467641E-003  -1.7351763E-001   2.3969872E-003  -1.7340132E-001   2.4277902E-003  -1.7327225E-001   2.4697730E-003  -1.7315667E-001   2.5023906E-003  -1.7304172E-001   2.5287619E-003  -1.7297598E-001   2.5366962E-003  -1.7285892E-001   2.5487362E-003  -1.7274804E-001   2.6037641E-003  -1.7266672E-001   2.6309921E-003  -1.7258589E-001   2.6701662E-003  -1.7248572E-001   2.6717580E-003  -1.7242839E-001   2.6781968E-003  -1.7234948E-001   2.7732102E-003  -1.7226568E-001   2.7711120E-003  -1.7218622E-001   2.7435803E-003  -1.7217319E-001   2.7882935E-003  -1.7200052E-001   2.8119598E-003  -1.7206085E-001   2.8054849E-003  -1.7199001E-001   2.8654402E-003  -1.7183761E-001   2.9171775E-003  -1.7192656E-001   2.8294333E-003  -1.7179820E-001   2.8703628E-003  -1.7168390E-001   2.9162783E-003  -1.7168051E-001   2.8687335E-003  -1.7166254E-001   3.0224321E-003  -1.7168207E-001   3.0877942E-003  -1.7162676E-001   3.0748747E-003  -1.7152333E-001   2.9817924E-003  -1.7150095E-001   3.0839180E-003  -1.7146266E-001   3.0885013E-003  -1.7135755E-001   3.0028409E-003  -1.7128229E-001   3.1706296E-003  -1.7137821E-001   3.1850342E-003  -1.7117421E-001   3.2148952E-003  -1.7108137E-001   3.0261685E-003  -1.7115682E-001   3.1249258E-003  -1.7120216E-001   3.1976418E-003  -1.7088933E-001   3.2738182E-003  -1.7121482E-001   3.2279882E-003  -1.7094809E-001   3.2452761E-003  -1.7086612E-001   3.2117267E-003  -1.7084670E-001   3.2542746E-003 
    659250.0           *    658800.0    658900.0   6217585.0           *   6217585.0   6217585.0     355.309       0.019      -35.8140554       1.000       0.000      12.306       0.050  -3.5952507E-002   5.9932385E-004  -3.5551894E-002   6.1519839E-004  -3.5347443E-002   6.2204755E-004  -3.5211818E-002   6.2883549E-004  -3.5117417E-002   6.3548206E-004  -3.5029966E-002   6.4695315E-004  -3.4972880E-002   6.5173756E-004  -3.4898977E-002   6.4818207E-004  -3.4876393E-002   6.6031256E-004  -3.4817658E-002   6.6685204E-004  -3.4786025E-002   6.8369445E-004  -3.4735100E-002   6.6486785E-004  -3.4702785E-002   6.7645422E-004  -3.4676519E-002   6.9730806E-004  -3.4652765E-002   6.9397278E-004  -3.4601899E-002   6.8901359E-004  -3.4585037E-002   6.9339499E-004  -3.4576574E-002   6.8496045E-004  -3.4532730E-002   6.9749776E-004  -3.4522508E-002   7.0720565E-004  -3.4501975E-002   7.2639761E-004  -3.4489969E-002   7.1755880E-004  -3.4478902E-002   7.2750040E-004  -3.4429454E-002   7.3027500E-004  -3.4418927E-002   7.0902318E-004  -3.4392719E-002   7.5075411E-004  -3.4368458E-002   7.6045907E-004  -3.4320978E-002   7.4050783E-004  -3.4321500E-002   7.7340310E-004  -3.4339596E-002   7.8654965E-004  -3.4322318E-002   7.1654643E-004  -3.4328031E-002   7.1744413E-004  -3.4289521E-002   7.6120140E-004  -3.4255252E-002   7.4101232E-004  -3.4300297E-002   7.1575335E-004  -3.4339018E-002   8.3750203E-004  -3.4247696E-002   6.3827681E-004  -3.4208306E-002   7.7647480E-004  -3.4243351E-002   7.2255258E-004  -3.4252634E-002   9.8286590E-004  -3.4157442E-002   7.6522567E-004  -3.4439515E-002   7.1298141E-004  -3.4094535E-002   8.1416762E-004  -3.4207490E-002   9.0570932E-004  -3.4252684E-002   7.6582574E-004  -3.4185076E-002   6.8440811E-004  -3.4096901E-002   9.2138578E-004  -3.3941130E-002   7.8219957E-004  -3.4135227E-002   7.2615380E-004  -3.4139463E-002   7.2731397E-004  -3.4114141E-002   7.1969674E-004  -3.4053121E-002   9.3525239E-004 
    659450.0           *    658800.0    658900.0   6217585.0           *   6217585.0   6217585.0     295.106       0.020      -13.0628684       1.000       0.000      27.904       0.061  -1.3102362E-002   4.7928668E-004  -1.2778333E-002   4.5462625E-004  -1.2633597E-002   4.5413899E-004  -1.2539702E-002   4.5185265E-004  -1.2459474E-002   4.3693496E-004  -1.2405375E-002   4.4144981E-004  -1.2383774E-002   4.4504974E-004  -1.2329931E-002   4.4771918E-004  -1.2288693E-002   4.2775793E-004  -1.2247681E-002   4.4895185E-004  -1.2236761E-002   4.3064969E-004  -1.2219535E-002   4.3173586E-004  -1.2168582E-002   4.1069360E-004  -1.2161900E-002   4.4460875E-004  -1.2121374E-002   4.8157713E-004  -1.2084256E-002   4.4378500E-004  -1.2140332E-002   4.3700560E-004  -1.2090150E-002   4.2086685E-004  -1.2072520E-002   4.2140046E-004  -1.2100659E-002   4.6243963E-004  -1.2041238E-002   3.5679929E-004  -1.2046587E-002   4.7047351E-004  -1.2061292E-002   4.3592605E-004  -1.2028041E-002   3.5300273E-004  -1.2007231E-002   4.5514700E-004  -1.2014505E-002   4.3820038E-004  -1.1965618E-002   3.3032339E-004  -1.2000837E-002   3.7025277E-004  -1.1972386E-002   4.7478634E-004  -1.1940658E-002   3.5526970E-004  -1.1988373E-002   4.7230516E-004  -1.1842634E-002   3.9281386E-004  -1.1860411E-002   2.9680964E-004  -1.1933923E-002   4.1956271E-004  -1.1865947E-002   3.6251281E-004  -1.1844037E-002   3.8481468E-004  -1.1886229E-002   5.0291395E-004  -1.1982267E-002   3.9093464E-004  -1.1906511E-002   5.5661249E-004  -1.1982538E-002   4.5755522E-004  -1.1874591E-002   5.9256438E-004  -1.1783837E-002   4.7515141E-004  -1.1874515E-002   6.1655519E-004  -1.1727825E-002   4.1216813E-004  -1.1908264E-002   6.4028676E-004  -1.1894928E-002   2.2204269E-004  -1.1984270E-002   3.5897174E-004  -1.1858879E-002   3.6360108E-004  -1.1831240E-002   4.8573815E-004  -1.1765847E-002   2.9454455E-004  -1.1692364E-002   4.4873659E-004  -1.1720656E-002   5.4799689E-004 
    659650.0           *    658800.0    658900.0   6217585.0           *   6217585.0   6217585.0     373.386       0.054       -9.2269826       1.000       0.000      26.994       0.130  -9.2553689E-003   3.2773163E-004  -9.0340160E-003   3.1157681E-004  -8.9320650E-003   3.0423175E-004  -8.8697593E-003   3.0351363E-004  -8.8186772E-003   3.0198753E-004  -8.7741243E-003   3.0157180E-004  -8.7412803E-003   2.8728878E-004  -8.7089791E-003   2.8433364E-004  -8.6950457E-003   3.0263316E-004  -8.6856670E-003   2.9809107E-004  -8.6464353E-003   3.1056959E-004  -8.6324932E-003   3.0022254E-004  -8.6249048E-003   2.7299082E-004  -8.6051346E-003   3.0435717E-004  -8.5867752E-003   2.9937459E-004  -8.5792044E-003   3.0323640E-004  -8.5590123E-003   2.8552794E-004  -8.5327521E-003   3.0958633E-004  -8.5249358E-003   3.1162827E-004  -8.5203056E-003   2.8238999E-004  -8.5036930E-003   2.6593389E-004  -8.4980436E-003   3.1755386E-004  -8.5021857E-003   2.6957920E-004  -8.4654782E-003   2.6688190E-004  -8.4753934E-003   2.6852731E-004  -8.4764114E-003   2.6497931E-004  -8.5147601E-003   2.8442181E-004  -8.5395952E-003   2.3419932E-004  -8.4096303E-003   2.6353289E-004  -8.3712349E-003   3.3338628E-004  -8.4605523E-003   2.1443773E-004  -8.4245381E-003   3.2664607E-004  -8.5255052E-003   2.7884379E-004  -8.4567833E-003   3.2175606E-004  -8.3644901E-003   3.7318623E-004  -8.3694774E-003   1.9706309E-004  -8.3298223E-003   2.7643592E-004  -8.5458086E-003   3.0140017E-004  -8.3327199E-003   3.4476603E-004  -8.2633244E-003   2.8632119E-004  -8.4124508E-003   1.9744457E-004  -8.2297179E-003   5.6887764E-004  -8.4397634E-003   3.5112283E-004  -8.5228367E-003  -2.2899317E-005  -8.2909880E-003   3.2790471E-004  -8.3117283E-003   2.1174895E-004  -8.2180517E-003   1.9049824E-004  -8.1909726E-003   4.4032156E-004  -8.4080981E-003   2.9638773E-004  -8.2286207E-003  -6.0346893E-005  -8.4411088E-003   2.1585151E-004  -8.1710336E-003   3.1959414E-004 
    659850.0           *    658800.0    658900.0   6217585.0           *   6217585.0   6217585.0     562.838       0.039       -8.8374317       1.000       0.000      26.241       0.092  -8.8653641E-003   3.0574843E-004  -8.6610257E-003   2.9218165E-004  -8.5649532E-003   2.8947419E-004  -8.4909935E-003   2.8250507E-004  -8.4585803E-003   2.9877264E-004  -8.4140444E-003   2.9184808E-004  -8.3949595E-003   2.9071899E-004  -8.3744993E-003   2.8526688E-004  -8.3437010E-003   2.8392091E-004  -8.3090418E-003   2.7434852E-004  -8.3147624E-003   2.9810870E-004  -8.2856416E-003   2.8697575E-004  -8.2568634E-003   2.7936770E-004  -8.2568510E-003   2.7274352E-004  -8.2594966E-003   2.8929259E-004  -8.2483989E-003   2.6067664E-004  -8.2341966E-003   2.7390933E-004  -8.2307614E-003   2.8755332E-004  -8.1720054E-003   2.6039568E-004  -8.2067068E-003   2.5376915E-004  -8.1679798E-003   2.6741239E-004  -8.1732173E-003   2.6039804E-004  -8.1686321E-003   2.5783913E-004  -8.1211632E-003   2.8873315E-004  -8.1525629E-003   2.7406913E-004  -8.1398761E-003   2.6606142E-004  -8.1379708E-003   2.7542493E-004  -8.1360468E-003   2.8872249E-004  -8.0951350E-003   2.7370614E-004  -8.0851465E-003   2.7407317E-004  -8.0828329E-003   2.7873086E-004  -8.1123196E-003   2.7111440E-004  -8.1818225E-003   2.4413188E-004  -8.0416297E-003   3.1416574E-004  -8.0418380E-003   2.4963941E-004  -8.1975907E-003   2.4147409E-004  -8.1041368E-003   2.8602019E-004  -8.0925587E-003   3.2068928E-004  -8.0722140E-003   3.6518657E-004  -8.1167467E-003   3.3481594E-004  -8.1188681E-003   2.0219102E-004  -8.1872625E-003   4.0648173E-004  -8.0929607E-003   2.2332993E-004  -7.9303764E-003   3.9084242E-004  -8.1280358E-003   1.1717311E-004  -7.9624135E-003   1.1141389E-004  -8.1962454E-003   1.4305488E-004  -8.0262867E-003   1.4812179E-004  -7.9890936E-003   2.6382886E-004  -8.0415869E-003   2.5479769E-004  -8.0054104E-003   2.8267969E-004  -7.9595818E-003   2.8023701E-004 
    660050.0           *    658800.0    658900.0   6217585.0           *   6217585.0   6217585.0     792.049       0.056       -8.5682541       1.000       0.000      26.468       0.156  -8.5943318E-003   3.0058406E-004  -8.3931915E-003   2.9270445E-004  -8.2955596E-003   2.8774340E-004  -8.2406471E-003   2.8831519E-004  -8.1882065E-003   2.8947282E-004  -8.1610467E-003   2.8189717E-004  -8.1234355E-003   2.8635198E-004  -8.1047393E-003   2.8689362E-004  -8.0721595E-003   2.8736518E-004  -8.0656470E-003   2.9730687E-004  -8.0469481E-003   2.8796836E-004  -8.0283974E-003   2.8363125E-004  -8.0219565E-003   2.9039139E-004  -8.0117007E-003   2.9402704E-004  -7.9693070E-003   2.7842763E-004  -7.9543243E-003   3.0601625E-004  -7.9579273E-003   2.8969545E-004  -7.9600539E-003   3.0652967E-004  -7.9480684E-003   2.8100452E-004  -7.9342976E-003   2.8659462E-004  -7.9482063E-003   2.5430360E-004  -7.9194400E-003   2.8706007E-004  -7.9242767E-003   2.8970301E-004  -7.8656177E-003   2.5004348E-004  -7.8930780E-003   2.8656261E-004  -7.8931903E-003   2.7600722E-004  -7.9168204E-003   2.9160756E-004  -7.8963804E-003   2.6315803E-004  -7.8365757E-003   2.4840799E-004  -7.8864567E-003   2.6963169E-004  -7.8866478E-003   2.9308629E-004  -7.8852067E-003   2.4966004E-004  -7.8428066E-003   3.1214792E-004  -7.8948868E-003   2.5510714E-004  -7.7930100E-003   2.4892745E-004  -7.9543933E-003   3.6297232E-004  -7.7459523E-003   2.4719554E-004  -7.7632480E-003   1.5841418E-004  -7.7288019E-003   1.8061759E-004  -7.8431706E-003   3.1385997E-004  -7.7580761E-003   2.7951969E-004  -7.7741244E-003   2.3387339E-004  -7.7168757E-003   1.2388655E-004  -7.7826136E-003   1.9850521E-004  -7.9014279E-003   2.1608874E-004  -7.7683105E-003   2.0070839E-004  -7.8708057E-003   3.6586640E-004  -7.7515052E-003   2.1101444E-004  -7.8525131E-003   3.8463145E-004  -7.7459877E-003   2.4547059E-004  -7.7124513E-003   3.9266568E-004  -7.7637484E-003   2.5057967E-004 
    660250.0           *    658800.0    658900.0   6217585.0           *   6217585.0   6217585.0    1078.511       0.025       -8.4951112       1.000       0.000      26.372       0.079  -8.5215728E-003   2.9762751E-004  -8.3186186E-003   2.8999280E-004  -8.2256760E-003   2.8479930E-004  -8.1660161E-003   2.8259081E-004  -8.1178755E-003   2.8702950E-004  -8.0841949E-003   2.8738620E-004  -8.0540582E-003   2.8298195E-004  -8.0316812E-003   2.8030233E-004  -8.0082102E-003   2.7438741E-004  -7.9814034E-003   2.7576880E-004  -7.9562409E-003   2.7551846E-004  -7.9429092E-003   2.7907468E-004  -7.9253858E-003   2.9388998E-004  -7.9309224E-003   2.9983838E-004  -7.9001896E-003   2.7987029E-004  -7.8882656E-003   2.8204136E-004  -7.8847567E-003   2.6651805E-004  -7.8615614E-003   2.9509163E-004  -7.8615087E-003   2.8729467E-004  -7.8473252E-003   2.8857066E-004  -7.8531150E-003   2.9006866E-004  -7.8496738E-003   2.8491195E-004  -7.8240726E-003   2.8480611E-004  -7.8512214E-003   2.7153973E-004  -7.7968744E-003   2.7235736E-004  -7.8120150E-003   2.9213045E-004  -7.7920479E-003   2.9963061E-004  -7.7857502E-003   2.5010149E-004  -7.8259283E-003   2.7476729E-004  -7.7612351E-003   2.8545491E-004  -7.7135886E-003   2.5987532E-004  -7.7625827E-003   2.9520546E-004  -7.7957354E-003   2.5392326E-004  -7.8028022E-003   2.6431296E-004  -7.7321898E-003   2.4361127E-004  -7.7585501E-003   2.5686166E-004  -7.7399721E-003   2.5940325E-004  -7.5939548E-003   1.9130793E-004  -7.8458618E-003   3.0004530E-004  -7.7526979E-003   3.5537738E-004  -7.6194452E-003   2.7673386E-004  -7.8557238E-003   4.6345544E-004  -7.6719414E-003   2.9694787E-004  -7.6820696E-003   3.1642809E-004  -7.7017923E-003   3.1949929E-004  -7.6539516E-003   2.7018960E-004  -7.7169312E-003   3.0867665E-004  -7.6588684E-003   2.7476309E-004  -7.8712923E-003   2.6618583E-004  -7.6035169E-003   3.1539639E-004  -7.6291274E-003   2.3116676E-004  -7.8062458E-003   2.4948771E-004 
    660450.0           *    658800.0    658900.0   6217585.0           *   6217585.0   6217585.0    1286.018       0.045       -7.6765655       1.000       0.000      25.798       0.099  -7.7010116E-003   2.6381220E-004  -7.5200275E-003   2.5799444E-004  -7.4413002E-003   2.5880445E-004  -7.3895955E-003   2.6298467E-004  -7.3524555E-003   2.6408975E-004  -7.3120927E-003   2.6033205E-004  -7.2909442E-003   2.6701740E-004  -7.2663205E-003   2.6300624E-004  -7.2396236E-003   2.5853199E-004  -7.2341831E-003   2.5198184E-004  -7.1937097E-003   2.5933054E-004  -7.1915906E-003   2.7917246E-004  -7.1718991E-003   2.6904832E-004  -7.1562833E-003   2.6497347E-004  -7.1580004E-003   2.5745014E-004  -7.1424675E-003   2.9844425E-004  -7.1399975E-003   2.8454232E-004  -7.1193981E-003   2.8467159E-004  -7.1286803E-003   2.9562116E-004  -7.0889933E-003   2.8347136E-004  -7.0818543E-003   2.8707874E-004  -7.0516517E-003   2.9832136E-004  -7.0842404E-003   2.5400196E-004  -7.0586868E-003   2.7021269E-004  -7.0642659E-003   2.7310756E-004  -7.0424989E-003   3.0252291E-004  -7.0864394E-003   2.9268963E-004  -7.0454589E-003   2.9112701E-004  -7.0473910E-003   2.9855445E-004  -7.0400763E-003   3.1932573E-004  -7.0351601E-003   3.2186071E-004  -7.0014471E-003   2.3249392E-004  -6.9820860E-003   2.7606084E-004  -6.9887305E-003   3.3787358E-004  -7.0093586E-003   3.4335121E-004  -6.8960011E-003   2.9009707E-004  -6.8692681E-003   3.5835796E-004  -6.9580335E-003   4.1318639E-004  -7.0343818E-003   4.1277459E-004  -7.0282967E-003   2.0566471E-004  -7.1037485E-003   2.6588472E-004  -7.0489183E-003   2.7090924E-004  -6.9587006E-003   1.6232694E-004  -6.9850701E-003   1.8551044E-004  -7.0519624E-003   3.7701996E-004  -7.0622010E-003   3.2733710E-004  -7.0060694E-003   3.2989196E-004  -6.9393141E-003   3.3984963E-004  -6.9001163E-003   2.4246086E-004  -6.8690505E-003   1.9829165E-004  -7.0183467E-003   3.4772698E-004  -6.8396718E-003   2.8321141E-004 
    658950.0           *    658800.0    658900.0   6217785.0           *   6217585.0   6217585.0      75.303       0.010     -159.7792150       1.000       0.000       5.156       0.017  -1.6047422E-001   1.2183820E-003  -1.5958843E-001   1.4170360E-003  -1.5913861E-001   1.5333057E-003  -1.5883055E-001   1.6629453E-003  -1.5855229E-001   1.7256451E-003  -1.5837516E-001   1.7774287E-003  -1.5821481E-001   1.8693194E-003  -1.5804701E-001   1.9328882E-003  -1.5787839E-001   1.9569952E-003  -1.5776558E-001   1.9913549E-003  -1.5767082E-001   2.0417212E-003  -1.5754392E-001   2.1552010E-003  -1.5744560E-001   2.1267643E-003  -1.5735569E-001   2.1714715E-003  -1.5725590E-001   2.2781885E-003  -1.5727994E-001   2.2372567E-003  -1.5713862E-001   2.2969035E-003  -1.5699255E-001   2.4599875E-003  -1.5704585E-001   2.4556778E-003  -1.5681633E-001   2.4135283E-003  -1.5682545E-001   2.5059550E-003  -1.5685554E-001   2.4405810E-003  -1.5675421E-001   2.6237436E-003  -1.5657628E-001   2.7098664E-003  -1.5652430E-001   2.5519610E-003  -1.5645619E-001   2.6684549E-003  -1.5650861E-001   2.6118957E-003  -1.5647010E-001   2.8778082E-003  -1.5640048E-001   2.8951119E-003  -1.5631117E-001   2.9183740E-003  -1.5637048E-001   2.4666277E-003  -1.5631748E-001   2.8440339E-003  -1.5615344E-001   3.0405755E-003  -1.5623022E-001   2.9489938E-003  -1.5592040E-001   3.1133258E-003  -1.5646470E-001   2.9575334E-003  -1.5624841E-001   2.7587937E-003  -1.5597816E-001   3.0370252E-003  -1.5586008E-001   3.0739283E-003  -1.5602715E-001   2.9499138E-003  -1.5593791E-001   3.1711609E-003  -1.5580223E-001   3.2049734E-003  -1.5597556E-001   3.1125967E-003  -1.5566131E-001   3.1921381E-003  -1.5544544E-001   2.8480691E-003  -1.5576907E-001   3.4098461E-003  -1.5557949E-001   3.2473955E-003  -1.5540272E-001   3.5262465E-003  -1.5571503E-001   3.6183450E-003  -1.5558937E-001   3.1232997E-003  -1.5549971E-001   3.2584180E-003  -1.5589850E-001   3.4405292E-003 
    659050.0           *    658800.0    658900.0   6217785.0           *   6217585.0   6217585.0     290.308       0.003     -123.1369130       1.000       0.000       7.440       0.007  -1.2365717E-001   1.2950518E-003  -1.2273891E-001   1.4034198E-003  -1.2229102E-001   1.4754553E-003  -1.2197857E-001   1.5369986E-003  -1.2174141E-001   1.5994262E-003  -1.2154564E-001   1.6266857E-003  -1.2137686E-001   1.6882079E-003  -1.2125943E-001   1.6872538E-003  -1.2110178E-001   1.7649477E-003  -1.2099390E-001   1.8058503E-003  -1.2090992E-001   1.8148895E-003  -1.2076606E-001   1.8265014E-003  -1.2068060E-001   1.8648575E-003  -1.2063564E-001   1.8914520E-003  -1.2057806E-001   1.8997512E-003  -1.2046659E-001   1.9881612E-003  -1.2038859E-001   1.9880219E-003  -1.2033638E-001   2.0130340E-003  -1.2026973E-001   2.0464376E-003  -1.2017180E-001   2.0185001E-003  -1.2007388E-001   2.0607815E-003  -1.2007577E-001   2.1156274E-003  -1.2003209E-001   2.0792731E-003  -1.2004402E-001   2.1525589E-003  -1.1986629E-001   2.1746093E-003  -1.1987471E-001   2.1731403E-003  -1.1984702E-001   2.1744837E-003  -1.1973955E-001   2.1840658E-003  -1.1972227E-001   2.1833809E-003  -1.1973985E-001   2.2242723E-003  -1.1963985E-001   2.2208744E-003  -1.1954299E-001   2.2092454E-003  -1.1957730E-001   2.2744062E-003  -1.1953737E-001   2.3055173E-003  -1.1932303E-001   2.3817361E-003  -1.1962721E-001   2.2790803E-003  -1.1947941E-001   2.4168858E-003  -1.1933065E-001   2.3736164E-003  -1.1931617E-001   2.5120518E-003  -1.1930004E-001   2.4547224E-003  -1.1933823E-001   2.4840781E-003  -1.1924042E-001   2.4045598E-003  -1.1911800E-001   2.3340096E-003  -1.1919328E-001   2.3551401E-003  -1.1901367E-001   2.5800980E-003  -1.1913998E-001   2.4775707E-003  -1.1905689E-001   2.6666466E-003  -1.1913252E-001   2.4904721E-003  -1.1890774E-001   2.5138410E-003  -1.1917604E-001   2.4521088E-003  -1.1914763E-001   2.5576853E-003  -1.1903608E-001   2.5341113E-003 
