Layer    From       To   Resistivity
   1      0.0      4.4        85.2
   2      4.4      9.1       763.2
   3      9.1     11.9       221.1
   4     11.9     19.5       258.8
   5     19.5     21.1       271.4
   6     21.1     30.8         0.9
   7     30.8     47.1        13.1
   8     47.1     66.9      8115.9
   9     66.9     82.9      1325.8
  10     82.9    258.7         1.8
  11    258.7    402.4         1.9
  12    402.4    741.3         2.4
  13    741.3    803.3         3.2
  14    803.3   1026.8         3.9
  15   1026.8   2775.2         2.5
  16   2775.2   2881.2      1306.1
  17   2881.2      Inf        17.7
